Код	Наименование	ინდენტიფიკატორი ИТС დისკზე
A06.5     	†       ფილტვის ამებური აბსცესი (J 99.8*) (A06.5)	0
A06.6     	†       თავის ტვინის ამებური აბსცესი (G 07*) (A06.6)	0
A06.7     	კანის ამებიაზი (A06.7)	0
A06.8     	სხვა ლოკალიზაციის ამებური ინფექცია (A06.8)	0
A06.9     	ამებიაზი, დაუზუსტებელი (A06.9)	0
A07.0     	ბალანტიდიაზი (A07.0)	0
A07.1     	ჟიარდიაზი [ლამბლიოზი] (A07.1)	0
A07.2     	კრიპტოსპორიდიოზი (A07.2)	0
A07.3     	იზოსპოროზი (A07.3)	0
A07.8     	ნაწლავთა სხვა დაზუსტებული პროტოზოული ავადმყოფობები (A07.8)	0
A07.9     	ნაწლავთა პროტოზოული ავადმყოფობა, დაუზუსტებელი                                   შოლტიანებით გამოწვეული დიარეა (A07.9)	0
A08.0     	როტავირუსული ენტერიტი (A08.0)	0
A08.1     	მწვავე გასტროენტეროპათია, გამოწვეული ნორვოლკის აგენტით (A08.1)	0
A08.2     	ადენოვირუსული ენტერიტი (A08.2)	0
A08.3     	სხვა ვირუსული ენტერიტები (A08.3)	0
A08.4     	ნაწლავთა ვირუსული ინფექცია, დაუზუსტებელი (A08.4)	0
A08.5     	სხვა დაზუსტებული ნაწლავური ინფექციები (A08.5)	0
A09.0     	სხვა და დაუზუსტებელი გასტროენტერიტი და კოლიტი ინფექციური ეთიოლოგიის (A09.0)	0
A09.9     	გასტროენტერიტი და კოლიტი დაუზუსტებელი ეტიოლოგიის (A09.9)	0
A15.0     	ფილტვის ტუბერკულოზი, დადასტურებული ბაქტერიოსკოპიით - კულტურის გაზრდით ან მის გარეშე (A15.0)	0
A15.1     	ფილტვის ტუბერკულოზი, დადასტურებული მხოლოდ კულტურის გაზრდით (A15.1)	0
A15.2     	ფილტვის ტუბერკულოზი, დადასტურებული ჰისტოლოგიურად (A15.2)	0
A15.3     	ფილტვის ტუბერკულოზი, დადასტურებული დაუზუსტებელი მეთოდებით (A15.3)	0
A15.4     	გულმკერდშიდა ლიმფური კვანძების ტუბერკულოზი, დადასტურებული ბაქტეროლოგიურად და ჰისტოლოგიურად (A15.4)	0
A15.5     	ხორხის, ტრაქეისა და ბრონქების ტუბერკულოზი, დადასტურებული ბაქტეროლოგიურად და ჰისტოლოგიურად (A15.5)	0
A15.6     	ტუბერკულოზური პლევრიტი, დადასტურებული ბაქტეროლოგიურად და ჰისტოლოგიურად (A15.6)	0
A15.7     	პირველადი რესპირაციული ტუბერკულოზი, დადასტურებული ბაქტერიოლოგიურად  და ჰისტოლოგიურად (A15.7)	0
A15.8     	სხვა რესპირაციული ტუბერკულოზი, დადასტურებული ბაქტერიოლოგიურად და ჰისტოლოგიურად (A15.8)	0
A15.9     	დაუზუსტებელი ლოკალიზაციის რესპირაციული ტუბერკულოზი, დადასტურებული ბაქტერიოლოგიურად და ჰისტოლოგიურად (A15.9)	0
A16.0     	ფილტვის ტუბერკულოზი, ბაქტერიოლოგიურად და ჰისტოლოგიურად ნეგატიური (A16.0)	0
A16.1     	ფილტვის ტუბერკულოზი, რომლის ბაქტერიოლოგიური და ჰისტოლოგიური გამოკვლევა არ ჩატარებულა (A16.1)	0
A16.2     	ფილტვის ტუბერკულოზი, ბაქტერიოლოგიური და ჰისტოლოგიური დადასტურების აღნიშვნის გარეშე (A16.2)	0
A16.3     	გულმკერდშიდა ლიმფური კვანძების ტუბერკულოზი, ბაქტერიოლოგიური და ჰისტოლოგიური დადასტურების აღნიშვნის გარეშე (A16.3)	0
A16.4     	ხორხის, ტრაქეისა და ბრონქების ტუბერკულოზი, ბაქტერიოლოგიური და ჰისტოლოგიური დადასტურების აღნიშვნის გარეშე (A16.4)	0
A16.5     	ტუბერკულოზური პლევრიტი, ბაქტერიოლოგიური და ჰისტოლოგიური დადასტურების აღნიშვნის გარეშე (A16.5)	0
A16.7     	პირველადი რესპირატორული ტუბერკულოზი ბაქტერიოლოგიური და ჰისტოლოგიური დადასტურების აღნიშვნის გარეშე (A16.7)	0
A16.8     	სხვა რესპირაციული ტუბერკულოზი, ბაქტერიოლოგიური და ჰისტოლოგიური დადასტურების აღნიშვნის გარეშე (A16.8)	0
A16.9     	დაუზუსტებელი ლოკალიზაციის რესპირატორული ტუბერკულოზი, ბაქტერიოლოგიური და ჰისტოლოგიური დადასტურების აღნიშვნის გარეშე (A16.9)	0
A17.0     	†       ტუბერკულოზური მენინგიტი (G01*) (A17.0)	0
A17.1     	†       მენინგეური ტუბერკულომა (G07 *) (A17.1)	0
A17.8     	†       ნერვული სისტემის სხვა ლოკალიზაციის ტუბერკულოზი (A17.8)	0
A17.9     	†       ნერვული სისტემის ტუბერკულოზი, დაუზუსტებელი (G99,8*) (A17.9)	0
A18.0     	†       ძვლებისა და სახსრების ტუბერკულოზი (A18.0)	0
A18.1     	შარდ-სასქესო სისტემის ტუბერკულოზი (A18.1)	0
A18.2     	ტუბერკოლოზური პერიფერიული ლიმფადენოპათია (A18.2)	0
A18.3     	ნაწლავების, პერიტონეუმისა და მეზენტერიული ჯირკვლების ტუბერკულოზი (A18.3)	0
A18.4     	კანისა და კანქვეშა ქსოვილის ტუბერკულოზი (A18.4)	0
A18.5     	თვალის ტუბერკულოზი (A18.5)	0
A18.6     	ყურის ტუბერკულოზი (A18.6)	0
A18.7     	თირკმელზედა ჯირკვლების ტუბერკულოზი (E 35.1) (A18.7)	0
A18.8     	სხვა, დაზუსტებული ორგანოების ტუბერკულოზი (A18.8)	0
A19.0     	მწვავე მილიარული ტუბერკულოზი, ერთი დაზუსტებული ლოკალიზაციით (A19.0)	0
A19.1     	მწვავე მილიარული ტუბერკულოზი, მრავლობითი ლოკალიზაციის (A19.1)	0
A19.2     	მწვავე მილიარული ტუბერკულოზი, დაუზუსტებელი (A19.2)	0
A19.8     	სხვა მილიარული ტუბერკულოზი (A19.8)	0
A19.9     	მილიარული ტუბერკულოზი, დაუზუსტებელი ლოკალიზაციის (A19.9)	0
A20.0     	ბუბონური შავი ჭირი (A20.0)	0
A20.1     	ცელულოკუტანეური შავი ჭირი (A20.1)	0
A20.2     	ფილტვის შავი ჭირი (A20.2)	0
A20.3     	შავი ჭირით გამოწვეული მენინგიტი (A20.3)	0
A20.7     	სეპტიური შავი ჭირი (A20.7)	0
A20.8     	შავი ჭირის სხვა ფორმები (A20.8)	0
A20.9     	შავი ჭირი დაუზუსტებელი (A20.9)	0
A21.0     	წყლულოვანჯირკვლოვანი ტულარემია (A21.0)	0
A21.1     	ოკულოგლანდულური ტულარემია (A21.1)	0
A21.2     	ფილტვის ტულარემია (A21.2)	0
A21.3     	გასტრო-ინტესტინური ტულარემია (A21.3)	0
A21.7     	გენერალიზებული ტულარემია (A21.7)	0
A21.8     	ტულარემიის სხვა ფორმები (A21.8)	0
A21.9     	ტულარემია, დაუზუსტებელი (A21.9)	0
A22.0     	კანის ჯილეხი (A22.0)	0
A22.1     	ფილტვის ჯილეხი (A22.1)	0
A22.2     	გასტრო-ინტესტინური ჯილეხი (A22.2)	0
A22.7     	ჯილეხით გამოწვეული სეპტიცემია (A22.7)	0
A22.8     	ჯილეხის სხვა ფორმები (A22.8)	0
A22.9     	ჯილეხი, დაუზუსტებელი (A22.9)	0
A23.0     	ბრუცელოზი, გამოწვეული Brucella melitensis-ით (A23.0)	0
A23.1     	ბრუცელოზი, გამოწვეული Brucella abortus-ით (A23.1)	0
A23.2     	ბრუცელოზი, გამოწვეული Brucella suis-ით (A23.2)	0
A23.3     	ბრუცელოზი, გამოწვეული Brucella canis-ით (A23.3)	0
A23.8     	ბრუცელოზის სხვა ფორმები (A23.8)	0
A23.9     	ბრუცელოზი, დაუზუსტებელი (A23.9)	0
A24.0     	ქოთაო (მალეუსი) (Malleus) (A24.0)	0
A24.1     	მწვავე და ელვისებური მელიოიდოზი (A24.1)	0
A24.2     	ქვემწვავე და ქრონიკული მელიოიდოზი (A24.2)	0
A24.3     	მელიოიდოზის სხვა დაუზუსტებელი ფორმები (A24.3)	0
A24.4     	მელიოიდოზი, დაუზუსტებელი (A24.4)	0
A25.0     	სპირილოზი (A25.0)	0
A25.1     	სტრეპტობაცილოზი (A25.1)	0
A25.9     	ვირთაგვის ნაკბენის ცხელება, დაუზუსტებელი (A25.9)	0
A26.0     	კანის ერიზიპელოიდი (A26.0)	0
A26.7     	Erysipelothrix-ით გამოწვეული სეპტიცემია (A26.7)	0
A26.8     	ერიზიპელოიდის სხვა ფორმები (A26.8)	0
A26.9     	ერიზიპელოიდი, დაუზუსტებელი (A26.9)	0
A27.0     	იქტერო-ჰემორაგიული ლეპტოსპიროზი (A27.0)	0
A27.8     	ლეპტოსპიროზის სხვა ფორმები (A27.8)	0
A27.9     	ლეპტოსპიროზი, დაუზუსტებელი (A27.9)	0
A28.0     	პასტერელოზი (A28.0)	0
A28.1     	კატის ნაკაწრის ავადმყოფობა (A28.1)	0
A28.2     	ნაწლავგარე იერსინიოზი (A28.2)	0
A28.8     	სხვა დაზუსტებული ზოონოზური ბაქტერიული ავადმყოფობები, რომლებიც არ არის შეტანილი სხვა რუბრიკებში (A28.8)	0
A28.9     	ზოონოზური ბაქტერიული ავადმყოფობა, დაუზუსტებელი (A28.9)	0
A30.0     	არადიფერენცირებული კეთრი (A30.0)	0
A30.1     	ტუბერკულოიდური კეთრი (A30.1)	0
A30.2     	მოსაზღვრე ტუბერკოლოიდური კეთრი (A30.2)	0
A30.3     	მოსაზღვრე კეთრი (A30.3)	0
A30.4     	მოსაზღვრე ლეპრომატოზული კეთრი (A30.4)	0
A30.5     	ლეპრომატოზული კეთრი (A30.5)	0
A30.8     	კეთრის სხვა ფორმები (A30.8)	0
A30.9     	კეთრი, დაუზუსტებელი (A30.9)	0
A31.0     	ფილტვის მიკობაქტერიული ინფექციები (A31.0)	0
A31.1     	კანის მიკობაქტერიული ინფექცია (A31.1)	0
A31.8     	სხვა მიკობაქტერიული ინფექციები (A31.8)	0
A31.9     	მიკობაქტერიული ინფექცია, დაუზუსტებელი (A31.9)	0
A32.0     	კანის ლისტერიოზი (A32.0)	0
A32.1     	†       ლისტერიული მენინგიტი და მენინგოენცეფალიტი (A32.1)	0
A32.7     	ლისტერიული სეპტიცემია (A32.7)	0
A32.8     	ლისტერიოზის სხვა ფორმები (A32.8)	0
A32.9     	ლისტერიოზი, დაუზუსტებელი (A32.9)	0
A33       	ახალშობილთა ტეტანუსი (A33)	0
A34       	სამეანო ტეტანუსი (A34)	0
A35       	ტეტანუსის სხვა ფორმები (A35)	0
A36.0     	ხახის დიფთერია (A36.0)	0
A36.1     	ცხვირხახის დიფთერია (A36.1)	0
A36.2     	ხორხის დიფთერია (A36.2)	0
A36.3     	კანის დიფთერია (A36.3)	0
A36.8     	სხვა დიფთერია (A36.8)	0
A36.9     	დიფთერია, დაუზუსტებელი (A36.9)	0
A37.0     	ყივანახველა, გამოწვეული Bordetella pertussis-ით (A37.0)	0
A37.1     	ყივანახველა, გამოწვეული Bordetella  parapertussis-ით (A37.1)	0
A37.8     	ყივანახველა, გამოწვეული Bordetella-ს სხვა, სახეებით (A37.8)	0
A37.9     	ყივანახველა, დაუზუსტებელი (A37.9)	0
A38       	ქუნთრუშა (A38)	0
A39.0     	მენინგოკოკური მენინგიტი (G 01*) (A39.0)	0
A39.1     	†       უოტერჰაუს-ფრიდერიქსენის სინდრომი (E 35.1*) (A39.1)	0
A39.2     	მწვავე მენინგოკოკცემია (A39.2)	0
A39.3     	ქრონიკული მენინგოკოკცემია (A39.3)	0
A39.4     	მენინგოკოკცემია, დაუზუსტებელი (A39.4)	0
A39.5     	†       გულის მენინგოკოკური ავადმყოფობა (A39.5)	0
A39.8     	სხვა მენინგოკოკური ინფექციები (A39.8)	0
A39.9     	მენინგოკოკური ინფექცია, დაუზუსტებელი (A39.9)	0
A40.0     	სეპტიცემია, გამოწვეული სტრეპტოკოკით, ჯგუფი A (A40.0)	0
A40.1     	სეპტიცემია, გამოწვეული სტრეპტოკოკით, ჯგუფი B (A40.1)	0
A40.2     	სეპტიცემია, გამოწვეული სტრეპტოკოკით, ჯგუფი D (A40.2)	0
A40.3     	სეპტიცემია, გამოწვეული Streptococcus pneumoniae-თი (A40.3)	0
A40.8     	სხვა სტრეპტოკოკური სეპტიცემიები (A40.8)	0
A40.9     	სტრეპტოკოკული სეპტიცემია, დაუზუსტებელი (A40.9)	0
A41.0     	სეპტიცემია, გამოწვეული Staphylococcus aureus-ით A (A41.0)	0
A41.1     	სეპტიცემია, გამოწვეული სხვა დაზუსტებული სტაფილოკოკებით (A41.1)	0
A41.2     	სეპტიცემია, გამოწვეული დაუზუსტებელი სტაფილოკოკით A (A41.2)	0
A41.3     	სეპტიცემია, გამოწვეული Haemophilus influenzae-თი A (A41.3)	0
A41.4     	სეფსისი, გამოწვეული ანაერობებით (A41.4)	0
A41.5     	სეპტიცემია, გამოწვეული სხვა გრამ-უარყოფითი მიკროორგანიზმებით (A41.5)	0
A41.8     	სხვა დაზუსტებული სეპტიცემია A (A41.8)	0
A41.9     	სეპტიცემია, დაუზუსტებელი (A41.9)	0
A42.0     	ფილტვის აქტინომიკოზი (A42.0)	0
A42.1     	აბდომინური აქტინომიკოზი (A42.1)	0
A42.2     	კისრისა და სახის აქტინომიკოზი (A42.2)	0
A42.7     	აქტინომიკოზური სეპსისი (A42.7)	0
A42.8     	აქტინომიკოზის სხვა ფორმები (A42.8)	0
A42.9     	აქტინომიკოზი, დაუზუსტებელი (A42.9)	0
A43.0     	ფილტვის ნოკარდიოზი (A43.0)	0
A43.1     	კანის ნოკარდიოზი (A43.1)	0
A43.8     	ნოკარდიოზის სხვა ფორმები (A43.8)	0
A43.9     	ნოკარდიოზი, დაუზუსტებელი (A43.9)	0
A44.0     	სისტემური ბარტონელოზი (A44.0)	0
A44.1     	კანისა და ლორწოვანი გარსების ბარტონელოზი (A44.1)	0
A44.8     	ბარტონელოზის სხვა ფორმები (A44.8)	0
A44.9     	ბარტონელოზი, დაუზუსტებელი (A44.9)	0
A46       	წითელი ქარი (A46)	0
A48.0     	აეროვანი განგრენა (A48.0)	0
A48.1     	ლეგიონერთა ავადმყოფობა (A48.1)	0
A48.2     	ლეგიონერთა ავადმყოფობა პნევმონიის  გარეშე [პონტიაკის ცხელება] (A48.2)	0
A48.3     	ტოქსიური შოკის სინდომი (A48.3)	0
A48.4     	ბრაზილიური პურპურული ცხელება (A48.4)	0
A48.8     	სხვა დაზუსტებული ბაქტერიული ავადმყოფობები (A48.8)	0
A49.0     	სტაფილოკოკური ინფექცია, დაუზუსტებელი ლოკალიზაციით (A49.0)	0
A49.1     	სტრეპტოკოკური ინფექცია, დაუზუსტებელი ლოკალიზაციით (A49.1)	0
A49.2     	Haemophilus influenzae-თი გამოწვეული ინფექცია, დაუზუსტებული ლოკალიზაციით (A49.2)	0
A49.3     	მიკოპლაზმური ინფექცია, დაუზუსტებელი ლოკალოზაციის (A49.3)	0
A49.8     	სხვა ბაქტერიული ინფექციები დაუზუსტებელი ლოკალიზაციით (A49.8)	0
A49.9     	ბაქტერიული ინფექცია, დაუზუსტებელი (A49.9)	0
A50.0     	ადრეული თანდაყოლილი ათაშანგი სიმპტომებით (A50.0)	0
A50.1     	ადრეული თანდაყოლილი ათაშანგი, ფარული (A50.1)	0
A50.2     	ადრეული თანდაყოლილი ათაშანგი, დაუზუსტებელი (A50.2)	0
A50.3     	მოგვიანებითი თანდაყოლილი ათაშანგური ოკულოპათია (A50.3)	0
A50.4     	მოგვიანებითი თანდაყოლილი ნეიროათაშანგი [იუვენილური ნეიროათაშანგი] (A50.4)	0
A50.5     	მოგვიანებითი თანდაყოლილი ათაშანგის სხვა ფორმები სიმპტომებით (A50.5)	0
A50.6     	მოგვიანებითი თანდაყოლილი ათაშანგი, ფარული (A50.6)	0
A50.7     	მოგვიანებითი თანდაყოლილი ათაშანგი, დაუზუსტებელი (A50.7)	0
A50.9     	თანდაყოლილი ათაშანგი, დაუზუსტებელი (A50.9)	0
A51.0     	სასქესო ორგანოების პირველადი ათაშანგი (A51.0)	0
A51.1     	ანალური მიდამოს პირველადი ათაშანგი (A51.1)	0
A51.2     	სხვა ლოკალიზაციის პირველადი ათაშანგი (A51.2)	0
A51.3     	კანისა და ლორწოვანი გარსების მეორადი ათაშანგი (A51.3)	0
A51.4     	მეორადი ათაშანგის სხვა ფორმები (A51.4)	0
A51.5     	ადრეული ათაშანგი, ფარული (A51.5)	0
A51.9     	ადრეული ათაშანგი, დაუზუსტებელი (A51.9)	0
A52.0     	†       გულ-სისხლძარღვთა სისტემის ათაშანგი (A52.0)	0
A52.1     	ნეიროათაშანგი სიმპტომებით (A52.1)	0
A52.2     	ასიმპტომური ნეიროათაშანგი (A52.2)	0
A52.3     	ნეიროათაშანგი, დაუზუსტებელი (A52.3)	0
A52.7     	მოგვიანებითი ათაშანგის სხვა სიმპტომები (A52.7)	0
A52.8     	მოგვიანებითი ათაშანგი, ფარული (A52.8)	0
A52.9     	მოგვიანებითი ათაშანგი, დაუზუსტებელი (A52.9)	0
A53.0     	ფარული ათაშანგი, დაუზუსტებელი როგორც ადრეული ან მოგვიანებითი (A53.0)	0
A53.9     	ათაშანგი, დაუზუსტებელი (A53.9)	0
A54.0     	ქვედა შარდ-სასქესო ტრაქტის ქვედა ნაწილის გონოკოკური ინფექცია პერიურეთრული ან დამატებითი ჯირკვლების აბსცესის გარეშე (A54.0)	0
A54.1     	შარდ-სასქესო ტრაქტის ქვედა ნაწილის გონოკოკურ ინფექცია პერიურეთრალური და დამატებითი ჯირკვლების აბსცესით (A54.1)	0
A54.2     	გონოკოკური პელვეოპერიტონიტი და შარდ-სასქესო ორგანოთა  სხვა გონოკოკური დაავადებები (A54.2)	0
A54.3     	თვალის გონოკოკური ინფექცია (A54.3)	0
A54.4     	†       ძვალ-კუნთოვანი სისტემის გონოკოკური ინფექცია (A54.4)	0
A54.5     	გონოკოკური ფარინგიტი (A54.5)	0
A54.6     	ყითასა და სწორი ნაწლავის გონოკოკური ინფექცია (A54.6)	0
A54.8     	სხვა გონოკოკური ინფექციები (A54.8)	0
A54.9     	გონოკოკური ინფექცია, დაუზუსტებელი (A54.9)	0
A55       	ქლამიდიური ლიმფოგრანულომა (ვენერიული) (A55)	0
A56.0     	შარდ-სასქესო ტრაქტის ქვედა ნაწილის ქლამიდიური ინფექცია (A56.0)	0
A56.1     	მცირე მენჯის ორგანოებისა და სხვა შარდ-სასქესო ორგანოების ქლამიდიური ინფექციები (A56.1)	0
A56.2     	შარდ-სასქესო ტრაქტის ქლამიდიური ინფექცია, დაუზუსტებელი (A56.2)	0
A56.3     	ყითასა და სწორი ნაწლავის ქლამიდიური ინფექცია (A56.3)	0
A56.4     	ქლამიდიური ფარინგიტი (A56.4)	0
A56.8     	სქესობრივი გზით გადამდები ქლამიდიური ინფექცია, სხვა ლოკალიზაციის (A56.8)	0
A57       	შანკროიდი (A57)	0
A58       	საზარდულის გრანულომა (A58)	0
A59.0     	შარდ-სასქესო ორგანოთა ტრიქომონიაზი (A59.0)	0
A59.8     	ტრიქომონიაზი სხვა ლოკალიზაციის (A59.8)	0
A59.9     	ტრიქომონიაზი, დაუზუსტებელი (A59.9)	0
A60.0     	სასქესო ორგანოებისა და შარდ-სასქესო ტრაქტის ჰერპეს-ვირუსული ინფექცია (A60.0)	0
A60.1     	პერიანუსური კანისა და სწორი ნაწლავის ჰერპესვირუსული ინფექცია (A60.1)	0
A60.9     	ანო-გენიტალური ჰერპეს-ვირუსული ინფექცია, დაუზუსტებელი (A60.9)	0
A63.0     	ანო-გენიტალური (ვენერიული) მეჭეჭები (A63.0)	0
A63.8     	სხვა დაზუსტებული, უპირატესად სქესობრივი გზით გადამდები ავადმყოფობანი (A63.8)	0
A64       	სქესობრივი გზით გადამდები ავადმყოფობები, დაუზუსტებელი (A64)	0
A65       	არავენერიული ათაშანგი (A65)	0
A66.0     	საწყისი დაზიანებები ფრამბეზიის დროს (A66.0)	0
A66.1     	ფრამბეზიული მრავლობითი პაპილომები და ფეხისგულის პიანომა (A66.1)	0
A66.2     	სხვა ადრეული კანის დაზიანებები ფრამბეზიის დროს (A66.2)	0
A66.3     	ფრამბეზიული ჰიპერკერატოზი (A66.3)	0
A66.4     	ფრამბეზიული გუმები და წყლულები (A66.4)	0
A66.5     	განგოზა (A66.5)	0
A66.6     	ძვლებისა და სასხრების ფრამბეზიული დაზიანებები (A66.6)	0
A66.7     	ფრამბეზიის სხვა გამოვლინებები (A66.7)	0
A66.8     	ფარული ფრამბეზია (A66.8)	0
A66.9     	ფრამბეზია, დაუზუსტებელი (A66.9)	0
A67.0     	პირველადი დაზიანებები პინტის დროს (A67.0)	0
A67.1     	შუალედური დაზიანებები პინტის დროს (A67.1)	0
A67.2     	მოგვიანებითი დაზიანებები პინტის დროს (A67.2)	0
A67.3     	შერეული დაზიანებანი პინტის დროს (A67.3)	0
A67.9     	პინტა, დაუზუსტებელი (A67.9)	0
A68.0     	ტილისმიერი შებრუნებითი ცხელება (A68.0)	0
A68.1     	ტკიპისმიერი შებრუნებითი ტიფი (A68.1)	0
A68.9     	შებრუნებითი ცხელება, დაუზუსტებელი (A68.9)	0
A69.0     	ნეკროზული წყლულოვანი სტომატიტი (A69.0)	0
A69.1     	ვენსანის სხვა ინფექციები (A69.1)	0
A69.2     	ლაიმის ავადმყოფობა (A69.2)	0
A69.8     	სხვა დაზუსტებული სპიროქეტული ინფექციები (A69.8)	0
A69.9     	სპიროქეტული ინფექცია, დაუზუსტებელი (A69.9)	0
A70       	Chlamydia psittaci-თ გამოწვეული ინფექცია (A70)	0
A71.0     	ტრაქომის საწყისი სტადია (A71.0)	0
A71.1     	ტრაქომის აქტიური სტადია (A71.1)	0
A71.9     	ტრაქომა, დაუზუსტებელი (A71.9)	0
A74.0     	†       ქლამიდიური კონიუნქტივიტი (H 13.1*) (A74.0)	0
A74.8     	სხვა ქლამიდიური ავადმყოფობები (A74.8)	0
A74.9     	ქლამიდიური ინფექცია, დაუზუსტებელი (A74.9)	0
A75.0     	ეპიდემიური ტილისმიერი ტიფი,  გამოწვეული Rickettsia prowazekii-თ (A75.0)	0
A75.1     	მორეციდივე ტიფი [ბრილის ავადმყოფობა] (A75.1)	0
A75.2     	ტიფი,  გამოწვეული Rickettsia typhi-თ (A75.2)	0
A75.3     	ტიფი,  გამოწვეული Rickettsia tsutsugamushi-თ (A75.3)	0
A75.9     	პარტახტიანი ტიფი, დაუზუსტებელი (A75.9)	0
A77.0     	ლაქოვანი ცხელება, გამოწვეული Rickettsia rickettsii-თ (A77.0)	0
A77.1     	ლაქოვანი ცხელება,  გამოწვეული Rickettsia conorii-თ (A77.1)	0
A77.2     	ლაქოვანი ცხელება, გამოწვეული Rickettsia sibirica-თი (A77.2)	0
A77.3     	ლაქოვანი ცხელება,  გამოწვეული Rickettsia australis-თ (A77.3)	0
A77.8     	სხვა ლაქოვანი ცხელებები (A77.8)	0
A77.9     	ლაქოვანი ცხელება, დაუზუსტებელი (A77.9)	0
A78       	Q ცხელება (A78)	0
A79.0     	სანგრის ცხელება (A79.0)	0
A79.1     	ყვავილის მსგავსი რიკეტსიოზი, გამოწვეული Rickettsia akari-თი (A79.1)	0
A79.8     	სხვა დაზუსტებული რიკეტსიოზები (A79.8)	0
A79.9     	რიკეტსიოზი, დაუზუსტებელი (A79.9)	0
A80.0     	მწვავე პარალიზური პოლიომიელიტი, ვაქცინა-ასოცირებული (A80.0)	0
A80.1     	მწვავე პარალიზური პოლიომიელიტი,  შემოტანილი ველური ვირუსით გამოწვეული (A80.1)	0
A80.2     	მწვავე პარალიზური პოლიომიელიტი, ადგილობრივი ველური ვირუსით გამოწვეული (A80.2)	0
A80.3     	მწვავე პარალიზური პოლიომიელიტი, სხვა და დაუზუსტებელი (A80.3)	0
A80.4     	მწვავე არაპარალიზური პოლიომიელიტი (A80.4)	0
